EE ID,SAP,ASSET TAG," Host Name"," MAC Address"," EMPLOYEE NAME",STATUS,Month,Year,DEPLOYED DATE," POSITION",BUSINESS UNIT,Operating System,Storage Location,REVISED MODEL 1," DESCRIPTION",SERIAL NO.,ACQUISITION DATE,WARRANTY EXPIRE,ACQUISITION COST,PURCHASED PRICE,ACCOUNTABILITY FORM,PO# / SI#,LAST USER,VENDOR NAME,
05-01796,100301,100302,100302,087190AF4721,"SERRANO, MARCO RIVERA",Deployed,January,2025,"Jan 17, 2025",Software Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-929B5U,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_SERRANO__MARCO_RIVERA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03173,100302,100303,100303,0871904F0202,"DAVID, MARK ANTHONY AQUINO",Deployed,September,2025,"Sep 29, 2025",Data Scientist,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-W7UVS8,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_DAVID__MARK_ANTHONY_AQUINO.pdf,PO# 4700001818,"MALABANAN, ANGELO RIVERA",Iridium Technologies Inc.,
05-02400,100303,100304,100304,0871908D883F,"AQUINO, CAMILLE FERNANDEZ",Deployed,January,2025,"Jan 10, 2025",Service Design and Transition Manager,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-9K31M9,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_AQUINO__CAMILLE_FERNANDEZ.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03215,100304,100305,100305,0871902EEEE6,"FRANCISCO, PATRICK OLIVER MENDOZA",Deployed,July,2026,"Jul 3, 2026",Business Development Director,Enterprise Solutions Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-H50NJ0,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"BAUTISTA, JEROME MERCADO",Iridium Technologies Inc.,
05-02405,100305,100306,100306,087190162436,"MIRANDA, SOFIA RIVERA",Deployed,January,2025,"Jan 9, 2025",Sourcing Specialist,Talent Acquisition Group (TAG),MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-2P1SAQ,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_MIRANDA__SOFIA_RIVERA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03193,100306,100307,100307,087190A39078,"VILLANUEVA, ANGELA MAE GARCIA",Deployed,January,2026,"Jan 20, 2026",Sr. Power Platform Developer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-S8F1RE,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_VILLANUEVA__ANGELA_MAE_GARCIA.pdf,PO# 4700001818,"GONZALES, JASMIN MERCADO",Iridium Technologies Inc.,
05-02468,100307,100308,100308,0871907EEB1E,"CASTILLO, DENISE DELA CRUZ",Deployed,December,2024,"Dec 16, 2024",Software Engineer,Client Based Globe,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-33BPLZ,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CASTILLO__DENISE_DELA_CRUZ.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-01703,100308,100309,100309,087190AAE39E,"PANGANIBAN, MARIA CLARA TORRES",For Repair,December,2024,"Dec 19, 2024",Sr. Software Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-GHSYX5,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_PANGANIBAN__MARIA_CLARA_TORRES.pdf,PO# 4700001818,,Iridium Technologies Inc.,
,100309,100310,100310,087190AB2B90,,Spare for Deploy,,,,,,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-B31BTB,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"OCAMPO, KATRINA BAUTISTA",Iridium Technologies Inc.,
05-03190,100310,100311,100311,087190A0DE2C,"SANTOS, BIANCA DELA CRUZ",For Repair,June,2025,"Jun 13, 2025",Credit and Collection/ Admin Assistant,Finance,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-VVXP5G,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_SANTOS__BIANCA_DELA_CRUZ.pdf,PO# 4700001818,"FLORES, DIANNE SANTOS",Iridium Technologies Inc.,
,100311,100312,100312,087190A99A6A,,Spare for Deploy,December,2024,"Dec 20, 2024",,,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-4BS7T4,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"FRANCISCO, BIANCA VILLANUEVA",Iridium Technologies Inc.,
05-03078,100312,100313,100313,08719041FC05,"ESGUERRA, ANGELA MAE DELA CRUZ",Deployed,January,2025,"Jan 24, 2025",Project Manager,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-EE84WD,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_ESGUERRA__ANGELA_MAE_DELA_CRUZ.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03167,100313,100314,100314,0871908CE0F9,"ILAGAN, ALEXANDER MERCADO",Deployed,April,2025,"Apr 10, 2025",Cloud Security Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-DTT6YF,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,,Iridium Technologies Inc.,
05-01796,100314,100315,100315,087190C80CF8,"CORTEZ, SOFIA FERNANDEZ",Deployed,December,2024,"Dec 16, 2024",Recruiter,Talent Acquisition Group (TAG),MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-JJP3A9,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CORTEZ__SOFIA_FERNANDEZ.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-01795,100315,100316,100316,08719022668A,"MORALES, KATRINA FERNANDEZ",Deployed,December,2024,"Dec 17, 2024",Sr. Business Analyst,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-DJ76N9,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_MORALES__KATRINA_FERNANDEZ.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02424,100316,100317,100317,087190923B00,"PANGANIBAN, PATRICK OLIVER BAUTISTA",Deployed,January,2025,"Jan 24, 2025",Sr. QA Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-XBY7FK,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_PANGANIBAN__PATRICK_OLIVER_BAUTISTA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-06674,100317,100318,100318,0871905D16E9,"GUTIERREZ, LOVELY VILLANUEVA",Deployed,January,2025,"Jan 13, 2025",Network Administrator,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-0F1ZWN,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_GUTIERREZ__LOVELY_VILLANUEVA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03196,100318,100319,100319,0871900766B1,"MIRANDA, PAULO MIGUEL RIVERA",Deployed,April,2026,"Apr 24, 2026",Sr. Software Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-AYQCDW,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_MIRANDA__PAULO_MIGUEL_RIVERA.pdf,PO# 4700001818,"AGUILAR, MICHAEL ANGELO RAMOS",Iridium Technologies Inc.,
05-03170,100319,100320,100320,087190721B7A,"LOPEZ, ERIKA AQUINO",Deployed,July,2025,"Jul 4, 2025","Software Engineer (Java, AWS, Cloud)",Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-K3E8GB,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,LOVELY TORRES,Iridium Technologies Inc.,
05-03100,100320,100321,100321,0871909782EF,"SALAZAR, PAULO MIGUEL FERNANDEZ",Deployed,December,2024,"Dec 20, 2024",Business Analyst,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-LM06VL,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_SALAZAR__PAULO_MIGUEL_FERNANDEZ.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03087,100321,100322,100322,087190662607,"FRANCISCO, CARLO VILLANUEVA",Deployed,December,2024,"Dec 18, 2024",Service Delivery Manager,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-JAEB40,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_FRANCISCO__CARLO_VILLANUEVA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-05170,100322,100323,100323,087190D4752C,"CASTILLO, FRANCIS DELA CRUZ",Deployed,March,2026,"Mar 31, 2026",Sr. Account Manager,NCS,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-4TDZN1,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"MIRANDA, MONIQUE RAMOS",Iridium Technologies Inc.,
05-03078,100323,100324,100324,087190282ED4,"CASTRO, KATHERINE ROSE VILLANUEVA",Deployed,January,2025,"Jan 31, 2025",Service Manager,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-Y1HS7J,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CASTRO__KATHERINE_ROSE_VILLANUEVA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03193,100324,100325,100325,08719021D024,"CASTRO, KEVIN RIVERA",Deployed,January,2026,"Jan 16, 2026",Software Engineer (Fullstack),Client Based Globe,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-U9RA18,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CASTRO__KEVIN_RIVERA.pdf,PO# 4700001818,"SORIANO, DANIEL JOSEPH MERCADO",Iridium Technologies Inc.,
05-03170,100325,100326,100326,08719085B36C,"LOPEZ, FRANCIS FERNANDEZ",Deployed,July,2025,"Jul 4, 2025",Cloud Architect,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-V059KN,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"HERNANDEZ, BEATRICE TORRES",Iridium Technologies Inc.,
,100326,100327,100327,087190DADB4E,,Spare for Deploy,,,,,,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-MQWQW1,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"VALDEZ, JOHN PAUL SANTOS",Iridium Technologies Inc.,
05-03195,100327,100328,100328,087190263693,"DAVID, GABRIEL FLORES",Deployed,March,2026,"Mar 27, 2026",Multimedia Specialist,Office of the President,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-N8XYS7,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_DAVID__GABRIEL_FLORES.pdf,PO# 4700001818,"LOPEZ, NICOLE LOPEZ",Iridium Technologies Inc.,
05-02547,100328,100329,100329,0871901C246F,"NAVARRO, MARK ANTHONY AQUINO",Deployed,December,2024,"Dec 16, 2024",HR Manager (C&B),Human Resources,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-X21T1W,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_NAVARRO__MARK_ANTHONY_AQUINO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02313,100329,100330,100330,087190CF5FA5,"MAGNO, CHRISTIAN MERCADO",Deployed,December,2024,"Dec 17, 2024",L2 Operations Specialist,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-MAWK9L,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_MAGNO__CHRISTIAN_MERCADO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
,100330,100331,100331,087190446225,,Spare for Deploy,,,,,,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-ACRRTW,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"FRANCISCO, CARLO AQUINO",Iridium Technologies Inc.,
05-02313,100331,100332,100332,087190B36EEF,"CORPUZ, PATRICK OLIVER CASTILLO",Deployed,December,2024,"Dec 16, 2024",QA Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-YZKJ5J,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CORPUZ__PATRICK_OLIVER_CASTILLO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-06958,100332,100333,100333,08719081E5B7,"FRANCISCO, DANIEL JOSEPH BAUTISTA",Deployed,May,2026,"May 29, 2026",Process Writer,Client Based Globe,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-8QXN6U,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"PANGANIBAN, RAFAEL CASTILLO",Iridium Technologies Inc.,
05-03213,100333,100334,100334,08719036B251,"CALDERON, MARK ANTHONY LOPEZ",Deployed,April,2026,"Apr 30, 2026",Sr. Technical Support Specialist (Service Desk),Delivery Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-D5YRDD,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"DAVID, MONIQUE BAUTISTA",Iridium Technologies Inc.,
05-02471,100334,100335,100335,087190265A66,"BERNARDO, ERIKA AQUINO",Deployed,December,2024,"Dec 16, 2024",Solutions Architect,Client Based Globe,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-CBV303,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_BERNARDO__ERIKA_AQUINO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03058,100335,100336,100336,08719044F27D,"CASTILLO, FRANCIS SANTOS",Deployed,January,2025,"Jan 17, 2025",NOC Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-Z4NCWA,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CASTILLO__FRANCIS_SANTOS.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02490,100336,100337,100337,087190A00F5E,"SORIANO, JASMIN VILLANUEVA",Deployed,June,2025,"Jun 10, 2025",QA Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-VPTW5A,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_SORIANO__JASMIN_VILLANUEVA.pdf,PO# 4700001818,"DOMINGO, CHRISTINE JOY MENDOZA",Iridium Technologies Inc.,
05-06886,100337,100338,100338,087190045804,"DELA CRUZ, SOFIA FLORES",Deployed,August,2025,"Aug 1, 2025",CMS Administrator,Client Based Globe,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-DK9AFW,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_DELA_CRUZ__SOFIA_FLORES.pdf,PO# 4700001818,"AQUINO, RAFAEL MENDOZA",Iridium Technologies Inc.,
05-02313,100338,100339,100339,087190166C99,"GONZALES, JOHN PAUL MENDOZA",Deployed,December,2024,"Dec 20, 2024",Software Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-EN9JQ7,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_GONZALES__JOHN_PAUL_MENDOZA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03193,100339,100340,100340,087190F23E10,"LAXAMANA, ERIKA LOPEZ",Deployed,January,2026,"Jan 9, 2026",Jr. Process Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-BB257M,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_LAXAMANA__ERIKA_LOPEZ.pdf,PO# 4700001818,"PANGANIBAN, BIANCA GARCIA",Iridium Technologies Inc.,
05-02378,100340,100341,100341,087190ADA0CC,"MAGNO, ALEXANDER CRUZ",Deployed,January,2025,"Jan 21, 2025",Process Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-EHRWKN,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_MAGNO__ALEXANDER_CRUZ.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02402,100341,100342,100342,087190E377A3,"MARQUEZ, MARIA CLARA TORRES",Deployed,December,2024,"Dec 20, 2024",Jr. Application Support Specialist,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-WNL4S1,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_MARQUEZ__MARIA_CLARA_TORRES.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03150,100342,100343,100343,087190C8CAD1,"TORRES, GABRIEL TORRES",Deployed,February,2025,"Apr 4, 2025",Project Manager (Scrum Master),Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-1E9Z5F,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_TORRES__GABRIEL_TORRES.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02338,100343,100344,100344,087190676330,"SALAZAR, DOMINIC TORRES",For Repair,January,2025,"Jan 27, 2025",QA Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-92AD5B,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_SALAZAR__DOMINIC_TORRES.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02312,100344,100345,100345,087190C4B9C7,"CALDERON, PATRICK OLIVER MERCADO",Deployed,January,2025,"Jan 27, 2025",Solutions Architect,Client Based Globe,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-JQH6RE,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CALDERON__PATRICK_OLIVER_MERCADO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02404,100345,100346,100346,087190780438,"MANALANG, SOFIA AQUINO",Deployed,January,2025,"Jan 31, 2025",Operations Specialist,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-Y9XPR6,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_MANALANG__SOFIA_AQUINO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02332,100346,100347,100347,0871906EB4C8,"RAMOS, KATRINA AQUINO",Deployed,January,2025,"Jan 14, 2025",UI/UX Designer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-95W43R,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_RAMOS__KATRINA_AQUINO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03032,100347,100348,100348,087190EA5A26,"VILLANUEVA, DANIEL JOSEPH RIVERA",Deployed,December,2024,"Dec 19, 2024",Sr. Application Support Specialist,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-AYPUMD,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_VILLANUEVA__DANIEL_JOSEPH_RIVERA.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02335,100348,100349,100349,087190AF793A,"TOLENTINO, ERIKA SANTOS",Deployed,January,2025,"Jan 31, 2025",Systems Analyst,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-NU59UM,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_TOLENTINO__ERIKA_SANTOS.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03213,100349,100350,100350,0871901F4021,"MERCADO, MARCO DELA CRUZ",Deployed,April,2026,"Apr 30, 2026",Data Engineer,Delivery Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-WW2RZ2,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"ALCANTARA, ALEXANDER MENDOZA",Iridium Technologies Inc.,
05-03171,100350,100351,100351,087190FC35EF,"BAUTISTA, STEPHANIE CRUZ",Deployed,July,2025,"Jul 29, 2025",Project Manager (Scrum Master),Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-U1TR76,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_BAUTISTA__STEPHANIE_CRUZ.pdf,PO# 4700001818,"CRUZ, CHRISTIAN VILLANUEVA",Iridium Technologies Inc.,
05-03080,100351,100352,100352,087190BF3321,"VALDEZ, CHRISTINE JOY AQUINO",Deployed,January,2025,"Jan 28, 2025",Jr. Application Support Specialist,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-DMVE70,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_VALDEZ__CHRISTINE_JOY_AQUINO.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-02314,100352,100353,100353,0871908580E2,"CASTILLO, GABRIEL FLORES",Deployed,January,2025,"Jan 31, 2025",Software Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-5BUFMK,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_CASTILLO__GABRIEL_FLORES.pdf,PO# 4700001818,,Iridium Technologies Inc.,
05-03214,100353,100354,100354,087190866A50,"JAVIER, ALEXANDER TORRES",Deployed,June,2026,"Jun 3, 2026",Application Support Specialist,Delivery Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-45R638,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"LOPEZ, JOHN PAUL FERNANDEZ",Iridium Technologies Inc.,
05-03174,100354,100355,100355,08719087EE73,"NATIVIDAD, MARCO CASTILLO",Deployed,September,2025,"Sep 11, 2025",Jr. Technical Recruiter,Talent Acquisition Group (TAG),MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-UNVW35,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_NATIVIDAD__MARCO_CASTILLO.pdf,PO# 4700001818,"HERNANDEZ, MICHAEL ANGELO BAUTISTA",Iridium Technologies Inc.,
05-03174,100355,100356,100356,087190912639,"VALDEZ, ANGELO FLORES",Deployed,September,2025,"Sep 26, 2025",Jr. Application Support Specialist,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-2A9HR8,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",,PO# 4700001818,"SERRANO, DOMINIC FLORES",Iridium Technologies Inc.,
05-02336,100356,100357,100357,087190346BAF,"LAXAMANA, PAULO MIGUEL SANTOS",Deployed,December,2024,"Dec 17, 2024",Sr. Software Engineer,Technology Group,MacOS,," 2024 MacBook Air ","13-INCH MACBOOK AIR; APPLE M2 CHIP WITH 8 CORE CPU, 16GB, 512GB",SN-PHAFV6,"Dec 12, 2024","Dec 11, 2027","  68,360.00 ","3,418.00",ACCF_LAXAMANA__PAULO_MIGUEL_SANTOS.pdf,PO# 4700001818,,Iridium Technologies Inc.,
