xr,EE Name,Laptop Description,Asset Tag,Serial Number,,Laptop Hostname,Host Name,MAC Address,Remarks,ADDRESS,Contact No.,Status,Tech POC,Updated to Master Tracker (Yes or No),,,,,
05-02380,"CORPUZ, JOHN PAUL MENDOZA",use Acer (Brand New),YONDU101928,SN-ZP5QVU,,YONDU101928,YONDU101928,,Advance Energy,"Unit 1402, 90 Marcos Highway, Brgy. Ugong, Taguig City, Metro Manila",9275865999,,,,,,,,
05-02380,"FRANCISCO, CHRISTIAN BAUTISTA",use Dell 3420 (Brand New),YONDU101929,SN-Z1XNM6,,YONDU101929,YONDU101929,,Digitalgrowth,"Unit 1402, 123 Marcos Highway, Brgy. Kapitolyo, Taguig City, Metro Manila",9200885699,,,,,,,,
05-02380,"MIRANDA, DOMINIC CRUZ",use Dell 3420 (Brand New),YONDU101930,SN-PBLEZN,,YONDU101930,YONDU101930,,ITS,"Unit 2502, 6 Marcos Highway, Brgy. Kapitolyo, Muntinlupa City, Metro Manila",9665123586,,,,,,,,
05-02361,"CRUZ, MARK ANTHONY MENDOZA",use Dell 3420 (Brand New),YONDU101931,SN-22RV4D,,YONDU101931,YONDU101931,,SOC,"Unit 2902, 133 Ayala Avenue, Brgy. San Lorenzo, Makati City, Metro Manila",9181784648,,,,,,,,
05-02378,"JAVIER, RAFAEL FLORES",use 14S or Acer (from returned),YONDU101932,SN-FDAQL5,,YONDU101932,YONDU101932,,IT&S,"Unit 102, 109 Dr. A. Santos Ave, Brgy. Loyola Heights, Muntinlupa City, Metro Manila",9279957344,,,,,,,,
05-02379,"SANTOS, SOFIA LOPEZ",use Acer (Brand New),YONDU101933,SN-46ZGQ0,,YONDU101933,YONDU101933,,n/a,"Unit 2502, 237 Alabang-Zapote Road, Brgy. BF Homes, Muntinlupa City, Metro Manila",9051269725,,,,,,,,
05-02380,"SERRANO, SOFIA VILLANUEVA",use 14S or Acer (from returned),YONDU101272,SN-PRRUJB,,YONDU101272,YONDU101272,,N/A,"Unit 1102, 47 Ortigas Avenue, Brgy. Bel-Air, Quezon City, Metro Manila",9668989795,,,,,,,,
05-01702,"DELA CRUZ, JOSHUA AQUINO",,YONDU101934,SN-FYZPQR,,YONDU101934,YONDU101934,,For replacement (slow laptop) - pick up old unit,"Unit 1102, 176 Ayala Avenue, Brgy. Bel-Air, Antipolo City, Rizal",9660033179,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-02361,"RAMOS, SOFIA RIVERA",,YONDU101935,SN-FCX6B4,,YONDU101935,YONDU101935,,For Replacement - Laptop Dim Display - advise EE to ship the old unit once she receive the replacement unit,"Unit 3402, 132 Ortigas Avenue, Brgy. San Antonio, Las Piñas City, Metro Manila",9051283713,,,,,,,,
05-01796,"CASTILLO, SOFIA MERCADO",,YONDU101587,,,YONDU101587,YONDU101587,,AXA CONFIGURED LAPTOP (DELIVER TO RESOURCE),"Unit 3302, 154 Commonwealth Avenue, Brgy. Bagong Ilog, Imus City, Cavite",9058402467,,,,,,,,
05-01678,"VILLANUEVA, RAFAEL BAUTISTA",,YONDU101936,SN-F0PGQF,,YONDU101936,YONDU101936,,vertical line on LCD - pick up old unit,"Unit 2302, 197 Katipunan Avenue, Brgy. Poblacion, Makati City, Metro Manila",9275274814,,,,,,,,
05-01774,"PASCUAL, CARLO MENDOZA",,YONDU101874,PF-QPSJR4,,YONDU101874,YONDU101874,,IT-11341 - slow performance - pick up old unit,"Unit 2602, 86 C-5 Road, Brgy. Pinyahan, Las Piñas City, Metro Manila",9182336011,,,,,,,,
05-01704,"SANTOS, ANGELO GARCIA",,YONDU101454,SN-2QVLEM,,YONDU101454,YONDU101454,,Not powering ON - pick up old unit (do not reformat),"Unit 2102, 54 Rizal Avenue, Brgy. Palanan, Parañaque City, Metro Manila",9666075226,,,,,,,,
,,,,,,,,,"RELEASED DATE: MARCH 1, 2022",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-07087,MARIA CLARA BAUTISTA,,YONDU101251,SN-3EJZ4B,,YONDU101251,YONDU101251,,Remarks,"Unit 302, 81 Dr. A. Santos Ave, Brgy. Alabang, Muntinlupa City, Metro Manila",9182055197,Status,IT Tech Support,Updated to Master Tracker (Yes or No),,,,,
05-04978,"FLORES, PATRICK OLIVER CRUZ",Client Work Tool (CLOUDPAY),YONDU101402,SN-ESH9QS,,YONDU101402,YONDU101402,,Delivery of Client Work Tool (CloudPay) - Delivered 24/02/22,"Unit 3102, 7 Ortigas Avenue, Brgy. Loyola Heights, Muntinlupa City, Metro Manila",9052408476,,,,,,,,
05-02361,"CABRERA, PAULO MIGUEL LOPEZ",MACBOOK,101295,SN-3ETRRE,,101295,101295,,Laptop replacement (windows to macOS) - pick up old unit 24/02/22,"Unit 802, 67 Marcos Highway, Brgy. Bel-Air, Muntinlupa City, Metro Manila",9050295846,,,,,,,,
05-02382,"TORRES, ANGELO MERCADO",MACBOOK,101254,SN-DBBAB2,,101254,101254,,UBP,"Unit 2602, 186 Ortigas Avenue, Brgy. Loyola Heights, Antipolo City, Rizal",9051089086,,,,,,,,
05-02378,"RIVERA, KATRINA GARCIA",,YONDU101530,SN-R9FSEL,,YONDU101530,YONDU101530,,Prodman - FVT,"Unit 202, 73 Aguinaldo Highway, Brgy. Loyola Heights, Quezon City, Metro Manila",9176346094,,,,,,,,
05-02378,"MAGNO, PATRICIA ANNE RIVERA"," ",YONDU101898,SN-HD011J,,YONDU101898,YONDU101898,,Prodman,"Unit 2602, 96 Rizal Avenue, Brgy. Alabang, Las Piñas City, Metro Manila",9053913194,,,,,,,,
05-02379,"ESGUERRA, JEROME MERCADO",,YONDU101237,SN-6Y1FLL,,YONDU101237,YONDU101237,,AXA,"Unit 2602, 166 Governor Drive, Brgy. Alabang, Mandaluyong City, Metro Manila",9660960097,,,,,,,,
05-02380,"MAGNO, SOFIA BAUTISTA",,YONDU101683,SN-WGXHZX,,YONDU101683,YONDU101683,,ISG - PM Project,"Unit 1902, 37 Shaw Boulevard, Brgy. Poblacion, Bacoor City, Cavite",9059719700,,,,,,,,
05-02380,"RIVERA, ADRIAN CASTILLO",,YONDU101330,SN-SXFE5U,,YONDU101330,YONDU101330,,ISG,"Unit 2602, 170 Commonwealth Avenue, Brgy. Pinyahan, Antipolo City, Rizal",9664036959,,,,,,,,
05-02380,"ALCANTARA, DENISE AQUINO",,YONDU101438,SN-AN8SDS,,YONDU101438,YONDU101438,,Prodman,"Unit 202, 108 Dr. A. Santos Ave, Brgy. Ugong, Las Piñas City, Metro Manila",9275907315,,,,,,,,
05-02377,"AQUINO, JEROME CRUZ",,YONDU101937,SN-BNKLMD,,YONDU101937,YONDU101937,,Tech Council,"Unit 2302, 231 Boni Avenue, Brgy. Greenhills, Las Piñas City, Metro Manila",9202421506,,,,,,,,
05-02378,"MIRANDA, RAFAEL MENDOZA",,YONDU101938,PF-DJPD7V,,YONDU101938,YONDU101938,,AXA Piso Protect',"Unit 202, 106 Bonifacio High St, Brgy. BF Homes, Calamba City, Laguna",9278348963,,,,,,,,
05-02380,"PANGANIBAN, MARIA CLARA MERCADO",,YONDU101939,SN-75FL0R,,YONDU101939,YONDU101939,,Mynt,"Unit 1302, 24 Ortigas Avenue, Brgy. Poblacion, Mandaluyong City, Metro Manila",9173078344,,,,,,,,
05-02380,"RIVERA, CHARLENE CASTILLO",,YONDU101940,SN-8W734C,,YONDU101940,YONDU101940,,ISG Enterprise,"Unit 3102, 93 Alabang-Zapote Road, Brgy. Loyola Heights, Imus City, Cavite",9188841505,,,,,,,,
05-02356,"OCAMPO, FRANCIS TORRES",Client Work Tool (Sun Life),YONDU101402,SN-BRWGVR,,YONDU101402,YONDU101402,,SUNLIFE WORK TOOL,"Unit 2802, 241 Bonifacio High St, Brgy. Loyola Heights, Santa Rosa City, Laguna",9183520994,,,,,,,,
05-01817,"MORALES, STEPHANIE FLORES",Client Work Tool (Sun Life),YONDU101402,SN-BRWGVR,,YONDU101402,YONDU101402,,SUNLIFE WORK TOOL,"Unit 202, 65 Aurora Boulevard, Brgy. San Antonio, Bacoor City, Cavite",9203283374,,,,,,,,
05-02382,"CORPUZ, JOHN PAUL VILLANUEVA",use Dell 3420 (Brand New),YONDU101941,SN-8864PL,,YONDU101941,YONDU101941,,CMO Project,"Unit 2702, 235 Alabang-Zapote Road, Brgy. Bagong Ilog, Imus City, Cavite",9172719641,,,,,,,,
05-02381,"NATIVIDAD, JOHN PAUL TORRES",use returned units (Acer or Lenovo),YONDU101761,SN-NYEHF6,,YONDU101761,YONDU101761,,DSG under Wifi Ops,"Unit 1602, 141 Marcos Highway, Brgy. San Antonio, Imus City, Cavite",9272060907,,,,,,,,
05-05063,"ESGUERRA, MICHAEL ANGELO GARCIA",use returned units (Acer or Lenovo),YONDU101427,SN-Q81KC4,,YONDU101427,YONDU101427,,Laptop replacemen (Not Powering On) - pick up old unit (for quoatation),"Unit 1902, 46 Dr. A. Santos Ave, Brgy. Wack-Wack, Las Piñas City, Metro Manila",9057019431,,,,,,,,
05-01657,"HERNANDEZ, GABRIEL FLORES",use returned units (Acer or 14S/E14),YONDU101942,SN-PJZH3G,,YONDU101942,YONDU101942,,Replacement laptop due to damaged bottom assembly case - pick up old unit (for quotation),"Unit 4002, 33 Aurora Boulevard, Brgy. Palanan, Makati City, Metro Manila",9663869978,,,,,,,,
05-02377,"AQUINO, JEROME CRUZ",,,,,,,,Pull out unit only.,"Unit 202, 234 Aurora Boulevard, Brgy. Ugong, Calamba City, Laguna",9202421506,,,,,,,,
,"ATIENZA, ALYSSA MARIE BAUTISTA",,,,,,,,Client work tool,"Unit 1402, 246 C-5 Road, Brgy. Poblacion, Taguig City, Metro Manila",9055808580,,,,,,,,
05-02381,"JAVIER, ADRIAN FERNANDEZ",Resched delivery 3/2/22,YONDU101943,SN-KDKWTT,,YONDU101943,YONDU101943,,Fulfillment Process Squad,"Unit 3302, 131 Dr. A. Santos Ave, Brgy. Ugong, Makati City, Metro Manila",9055159403,,,,,,,,
05-02381,"HERNANDEZ, MARK ANTHONY LOPEZ",use returned units (Acer or 14S/E14),YONDU101944,SN-FJQA43,,YONDU101944,YONDU101944,,"Marketing Communications - Digital Creatives ","Unit 3602, 216 Dr. A. Santos Ave, Brgy. Bagong Ilog, Bacoor City, Cavite",9176398023,,,,,,,,
,CHARLENE CASTILLO,,YONDU101464,SN-M31GX1,,YONDU101464,YONDU101464,,,"Unit 702, 21 Governor Drive, Brgy. Wack-Wack, Pasig City, Metro Manila",9059404882,,,,,,,,
,,,,,,,,,"RELEASED DATE: MARCH 7, 2022",,,,,,,,,,
05-02359,"CRUZ, MARK ANTHONY BAUTISTA",NA,,,,,,,FOR FORMATTING / RESET OF LAPTOP (AXA),"Unit 2002, 47 Commonwealth Avenue, Brgy. Ugong, Taguig City, Metro Manila",9057412670,,,,,,,,
,"CASTILLO, CHRISTIAN VILLANUEVA",Schedule on Monday (3/7/22),YONDU101419,,,YONDU101419,YONDU101419,,"PICK UP CLIENT WORK TOOL > DELIVER TO CLIENT

and

PICK UP YONDU ASSET > DELIVER TO YONDU HQ","Unit 4002, 90 Alabang-Zapote Road, Brgy. Alabang, Las Piñas City, Metro Manila",9279505565,,,,,,,,
,NICOLE SORIANO,Schedule on Monday (3/7/22),,,,,,,Need to replace unit due to laggy and microphone has intermittent issue - ( pick up old unit ),"Unit 2702, 214 Boni Avenue, Brgy. Bel-Air, Bacoor City, Cavite",9050029594,,,,,,,,
,,,,,,,,,"RELEASED DATE: MARCH 8, 2022",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-07087,MARIA CLARA BAUTISTA,,YONDU101251,SN-3EJZ4B,,YONDU101251,YONDU101251,,Remarks,"Unit 302, 81 Dr. A. Santos Ave, Brgy. Alabang, Muntinlupa City, Metro Manila",9182055197,Status,IT Tech Support,Updated to Master Tracker (Yes or No),,,,,
05-02381,"GARCIA, PAULO MIGUEL GARCIA",Use returned Acer or E14/L14,YONDU101945,PF-N3EEJ0,,YONDU101945,YONDU101945,,IT&S,"Unit 2602, 64 Aurora Boulevard, Brgy. Bel-Air, Las Piñas City, Metro Manila",9174527507,,,,,,,,
05-02382,"PADILLA, GABRIEL DELA CRUZ",Use Brand New Dell 3420,YONDU101946,SN-778BJU,,YONDU101946,YONDU101946,,N/A,"Unit 1602, 230 Aurora Boulevard, Brgy. Greenhills, Pasig City, Metro Manila",9667839550,,,,,,,,
05-02382,"RIVERA, RAFAEL DELA CRUZ",Use returned Acer or E14/L14,YONDU101383,SN-PCYLWH,,YONDU101383,YONDU101383,,ITS,"Unit 1502, 77 Ortigas Avenue, Brgy. Wack-Wack, Makati City, Metro Manila",9057549290,,,,,,,,
05-02382,"MERCADO, CHRISTIAN AQUINO",Use returned Acer or E14/L14,YONDU101445,SN-K24DSN,,YONDU101445,YONDU101445,,ISG,"Unit 3602, 247 Alabang-Zapote Road, Brgy. Moonwalk, Quezon City, Metro Manila",9277011268,,,,,,,,
05-02382,"MALABANAN, JUAN CARLOS FERNANDEZ",Use Brand New Dell 3420,YONDU101947,SN-WQP0CS,,YONDU101947,YONDU101947,,Mynt,"Unit 3102, 24 Bonifacio High St, Brgy. Alabang, Muntinlupa City, Metro Manila",9182326793,,,,,,,,
05-02382,"CABRERA, MARCO TORRES",Use Brand New Dell 3420,YONDU101948,SN-UJU4P6,,YONDU101948,YONDU101948,,Mynt,"Unit 2402, 193 Rizal Avenue, Brgy. Kapitolyo, Imus City, Cavite",9270832378,,,,,,,,
05-02383,"GARCIA, DIANNE AQUINO",Use Brand New Dell 3420,YONDU101949,SN-SPA2UD,,YONDU101949,YONDU101949,,AXASol 2.0 (FOR AXA CONFIGURATION),"Unit 602, 171 Boni Avenue, Brgy. San Lorenzo, Taguig City, Metro Manila",9208701691,,,,,,,,
05-02383,"VILLANUEVA, JOSHUA FERNANDEZ",Use Brand New Dell 3420,YONDU101950,SN-QMW939,,YONDU101950,YONDU101950,,AXASol 2.0 (FOR AXA CONFIGURATION),"Unit 602, 171 Boni Avenue, Brgy. San Lorenzo, Taguig City, Metro Manila",9208701691,,,,,,,,
05-02380,"HERNANDEZ, VINCENT DELA CRUZ","Use returned Acer or Lenovo (E14, L14 or 14S)",YONDU101951,SN-ABB3TT,,YONDU101951,YONDU101951,,n/a,"Unit 2502, 237 Alabang-Zapote Road, Brgy. BF Homes, Muntinlupa City, Metro Manila",9051269725,,,,,,,,
05-02380,"RAMOS, PATRICIA ANNE CASTILLO",Use Brand New Dell 3420,YONDU101952,SN-SZUQ3T,,YONDU101952,YONDU101952,,MES - RCBC,"Unit 2402, 7 Ortigas Avenue, Brgy. Loyola Heights, Makati City, Metro Manila",9275504545,,,,,,,,
05-02383,"DE LEON, CHRISTIAN CRUZ",Use Brand New Dell 3420,YONDU101953,SN-HZTZYD,,YONDU101953,YONDU101953,,M360,"Unit 202, 86 Aurora Boulevard, Brgy. Bel-Air, Pasig City, Metro Manila",9664035919,,,,,,,,
05-02383,"DELA CRUZ, CAMILLE LOPEZ",Use Brand New Dell 3420,YONDU101954,SN-95ZVZQ,,YONDU101954,YONDU101954,,M360,"Unit 2602, 33 Katipunan Avenue, Brgy. Bel-Air, Taguig City, Metro Manila",9201937933,,,,,,,,
,,"Use returned Acer or Lenovo (E14, L14 or 14S)",YONDU101955,SN-DJT32B,,YONDU101955,YONDU101955,,Replacement due to slowness/hanging issue of laptop - pick up old unit,"Unit 902, 212 C-5 Road, Brgy. BF Homes, Muntinlupa City, Metro Manila",9186920625,,,,,,,,
05-01681,"PASCUAL, MARCO VILLANUEVA",Delivery of client tool,YONDU101402,SN-BRWGVR,,YONDU101402,YONDU101402,,Client tool (SUNLIFE),"Unit 902, 15 Ortigas Avenue, Brgy. Bagong Ilog, Parañaque City, Metro Manila",,,,,,,,,
05-01724,"MALABANAN, VINCENT CASTILLO",Delivery of client tool,YONDU101402,SN-BRWGVR,,YONDU101402,YONDU101402,,Client tool (SUNLIFE),"Unit 3102, 243 Aguinaldo Highway, Brgy. Moonwalk, Calamba City, Laguna",,,,,,,,,
05-01817,"ESGUERRA, JUAN CARLOS DELA CRUZ",Delivery of client tool,YONDU101402,SN-BRWGVR,,YONDU101402,YONDU101402,,Client tool (SUNLIFE),"Unit 2802, 179 Marcos Highway, Brgy. Palanan, Muntinlupa City, Metro Manila",,,,,,,,,
05-02356,"MALABANAN, DANIEL JOSEPH GARCIA",Delivery of client tool,YONDU101402,SN-BRWGVR,,YONDU101402,YONDU101402,,Client tool (SUNLIFE),"Unit 1002, 114 Alabang-Zapote Road, Brgy. Bel-Air, Calamba City, Laguna",,,,,,,,,
05-04709,"SORIANO, JEROME MERCADO",For Replacement,YONDU101956,SN-X16S2R,,YONDU101956,YONDU101956,,For Replacement - Laptop BSOD,"Unit 3302, 89 Shaw Boulevard, Brgy. Poblacion, Mandaluyong City, Metro Manila",9662982257,,,,,,,,
05-02377,"MALABANAN, JASMIN DELA CRUZ",Use Brand New Dell 3420,YONDU101957,SN-8YFRPP,,YONDU101957,YONDU101957,,ISG,"Unit 2502, 69 Bonifacio High St, Brgy. San Lorenzo, Imus City, Cavite",9278974295,,,,,,,,
05-01704,"GONZALES, CHRISTIAN FLORES",For Replacement,YONDU101958,SN-W7YXK5,,YONDU101958,YONDU101958,,replacement (not booting),"Unit 802, 163 Ayala Avenue, Brgy. Bagong Ilog, Bacoor City, Cavite",9277257675,,,,,,,,
05-02380,"REYES, ERIKA MENDOZA",Use Brand New Dell 3420,YONDU101959,SN-2F75DK,,YONDU101959,YONDU101959,,Healthnow - via LBC delivery,"Unit 102, 227 Katipunan Avenue, Brgy. Poblacion, Parañaque City, Metro Manila",9171026345,,,,,,,,
,,,,,,,,,FOR DEPLOYMENT ON 03-10-2022,,,,,,,,,,
05-02381,"JAVIER, ADRIAN FERNANDEZ",For Replacement,YONDU101960,PF-D2C030,,YONDU101960,YONDU101960,,"For Replacement - Camera is not working and only Reset this PC works to fix it once, the next resets are no longer working, other camera drivers are also not working. Given a certain time after reset it stops working again - pull out old unit","Unit 1202, 219 Dr. A. Santos Ave, Brgy. San Antonio, Makati City, Metro Manila",9055159403,,,,,,,,
05-04914,"MANALANG, ADRIAN RAMOS",For Replacement,YONDU101961,PF-QFGW6R,,YONDU101961,YONDU101961,,For replacement due to screen issue (glitchy) - pull out old unit (for repair),"Unit 3802, 249 Boni Avenue, Brgy. Greenhills, Parañaque City, Metro Manila",9175660557,,,,,,,,
05-02359,"CRUZ, MARK ANTHONY BAUTISTA",NA,YONDU101871,,,YONDU101871,YONDU101871,,RECONFIGURED BY AXA,"Unit 702, 122 Ayala Avenue, Brgy. Wack-Wack, Calamba City, Laguna",9181722797,,,,,,,,
05-03912,"GONZALES, RAFAEL AQUINO",for refresh,YONDU101962,SN-BMZ3X1,,YONDU101962,YONDU101962,,for refresh / please sched friday,"Unit 1302, 123 Rizal Avenue, Brgy. Moonwalk, Parañaque City, Metro Manila",9201198250,,,,,,,,
05-01704,"RIVERA, LOVELY DELA CRUZ",For Replacement,YONDU101963,SN-XD3XNZ,,YONDU101963,YONDU101963,,"Windows OS is gone, cannot boot to any recovery options - Pullout old unit","Unit 202, 238 C-5 Road, Brgy. Poblacion, Muntinlupa City, Metro Manila",9272213845,,,,,,,,
,,,,,,,,,FOR DEPLOYMENT ON 03-11-2022,,,,,,,,,,
05-01796,"ILAGAN, ALEXANDER LOPEZ",for refresh,YONDU101964,SN-LWJJD9,,YONDU101964,YONDU101964,,for refresh - pullout old unit,"Unit 2302, 100 Aurora Boulevard, Brgy. Alabang, Antipolo City, Rizal",9203741814,,,,,,,,
05-04976,"REYES, SOFIA RIVERA",for refresh,YONDU101965,SN-B99UXK,,YONDU101965,YONDU101965,,for refresh / please sched friday,"Unit 3002, 24 Rizal Avenue, Brgy. Bagong Ilog, Taguig City, Metro Manila",9273446131,,,,,,,,
05-01684,"PASCUAL, CARLO TORRES",for refresh,YONDU101966,SN-6LYLJ9,,YONDU101966,YONDU101966,,for refresh - pullout old unit,"Unit 3302, 147 Shaw Boulevard, Brgy. Loyola Heights, Mandaluyong City, Metro Manila",9058749349,,,,,,,,
05-01094,"GUTIERREZ, KEVIN FLORES",for refresh,YONDU101967,SN-NVE2VC,,YONDU101967,YONDU101967,,for refresh / please sched friday,"Unit 2802, 195 Dr. A. Santos Ave, Brgy. Bel-Air, Mandaluyong City, Metro Manila",9182764559,,,,,,,,
05-05194,"CORPUZ, MICHAEL ANGELO VILLANUEVA",for refresh,YONDU101968,SN-1RYGFT,,YONDU101968,YONDU101968,,for refresh / please sched friday,"Unit 3402, 194 Marcos Highway, Brgy. BF Homes, Muntinlupa City, Metro Manila",9275755755,,,,,,,,
05-02356,"GUTIERREZ, LOVELY CASTILLO",for refresh,YONDU101969,SN-1BQ19R,,YONDU101969,YONDU101969,,102679 - having glitch on screen also checked laptop is due for refresh / please sched friday,"Unit 602, 94 Commonwealth Avenue, Brgy. BF Homes, Parañaque City, Metro Manila",9274615635,,,,,,,,
05-01705,"RAMOS, GABRIEL GARCIA",for refresh,YONDU101970,SN-L6LPTR,,YONDU101970,YONDU101970,,for refresh,"Unit 2702, 242 Rizal Avenue, Brgy. Poblacion, Pasig City, Metro Manila",9278520308,,,,,,,,
05-02335,"NAVARRO, LOVELY FERNANDEZ",For Replacement,YONDU101971,PF-PAA7NA,,YONDU101971,YONDU101971,,"Mic. automatically mute intermittenly - pullout old unit
please sched friday","Unit 102, 73 Rizal Avenue, Brgy. Greenhills, Muntinlupa City, Metro Manila",9669129736,,,,,,,,
,,,,,,,,,"RELEASED DATE: MARCH 15, 2022",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-07087,MARIA CLARA BAUTISTA,,YONDU101251,SN-3EJZ4B,,YONDU101251,YONDU101251,,Remarks,"Unit 302, 81 Dr. A. Santos Ave, Brgy. Alabang, Muntinlupa City, Metro Manila",9182055197,Status,IT Tech Support,Updated to Master Tracker (Yes or No),,,,,
05-01095,"SERRANO, ALYSSA MARIE TORRES",For Replacement,YONDU101972,SN-WDFGMF,,YONDU101972,YONDU101972,,having issue with the laptop - pull out old unit,"Unit 2902, 163 Commonwealth Avenue, Brgy. Bagong Ilog, Bacoor City, Cavite",9274127237,,,,,,,,
05-02383,"FRANCISCO, ANGELA MAE CASTILLO","Use returned Acer or Lenovo (E14, L14 or 14S)",YONDU101973,SN-7X5VXP,,YONDU101973,YONDU101973,,NTG,"Unit 202, 25 C-5 Road, Brgy. BF Homes, Taguig City, Metro Manila",9660543190,,,,,,,,
05-02378,"MARQUEZ, FRANCIS LOPEZ","Use returned Acer or Lenovo (E14, L14 or 14S)",YONDU101974,SN-GWUC1R,,YONDU101974,YONDU101974,,Prodman,"Unit 1002, 201 Alabang-Zapote Road, Brgy. Pinyahan, Las Piñas City, Metro Manila",9059990052,,,,,,,,
05-02381,"FRANCISCO, DIANNE RAMOS",Use Brand New Dell 3420,YONDU101975,SN-U68YWQ,,YONDU101975,YONDU101975,,CMO Project,"Unit 1602, 104 Commonwealth Avenue, Brgy. Loyola Heights, Pasig City, Metro Manila",9200772711,,,,,,,,
05-02383,"PANGANIBAN, ROCHELLE MENDOZA",Use Brand New Dell 3420,YONDU101976,SN-LJAXT7,,YONDU101976,YONDU101976,,Prodman,"Unit 1002, 193 Aguinaldo Highway, Brgy. Moonwalk, Antipolo City, Rizal",9664163249,,,,,,,,
05-02383,"SORIANO, BIANCA BAUTISTA","Use returned Acer or Lenovo (E14, L14 or 14S)",YONDU101256,SN-Y2LGXE,,YONDU101256,YONDU101256,,Lucky 8,"Unit 1702, 16 Commonwealth Avenue, Brgy. Palanan, Las Piñas City, Metro Manila",9664044680,,,,,,,,
05-02384,"AQUINO, FRANCIS CASTILLO",Use Brand New Dell 3420,YONDU101977,SN-M7NNFE,,YONDU101977,YONDU101977,,M360,"Unit 2702, 65 Marcos Highway, Brgy. Alabang, Calamba City, Laguna",9178401184,,,,,,,,
05-02384,"MANALANG, KEVIN MENDOZA",Use Brand New Dell 3420,YONDU101978,SN-6W4TN2,,YONDU101978,YONDU101978,,M360,"Unit 1902, 50 Alabang-Zapote Road, Brgy. Alabang, Santa Rosa City, Laguna",9205178111,,,,,,,,
05-06676,"SALAZAR, JASMIN BAUTISTA",Prepare YONDU Samsung Monitor / SAMSUNG LAPTOP FROM CLIENT,YONDU101979,SN-DRM9W1,,YONDU101979,YONDU101979,,Samsung PARAN NOC,"Unit 1302, 137 Shaw Boulevard, Brgy. San Lorenzo, Antipolo City, Rizal",9208260183,,,,,,,,
05-02384,"MERCADO, ALYSSA MARIE CRUZ",Use Brand New Dell 3420,YONDU101980,SN-X8ZFQ2,,YONDU101980,YONDU101980,,Capability Build,"Unit 3302, 129 Ortigas Avenue, Brgy. Loyola Heights, Pasig City, Metro Manila",9050394467,,,,,,,,
05-02384,"CALDERON, FRANCIS TORRES","Use returned Acer or Lenovo (E14, L14 or 14S)",YONDU101376,SN-C562XL,,YONDU101376,YONDU101376,,Lucky 8,"Unit 902, 66 Rizal Avenue, Brgy. Bel-Air, Imus City, Cavite",9185156372,,,,,,,,
05-02382,"DEL ROSARIO, NICOLE RAMOS",Use Brand New Dell 3420,YONDU101981,SN-CZ5HNV,,YONDU101981,YONDU101981,,DGT - FOR LBC,"Unit 2102, 115 C-5 Road, Brgy. San Lorenzo, Quezon City, Metro Manila",9200082222,,,,,,,,
05-02383,"PANGANIBAN, CAMILLE CASTILLO",Use Brand New Dell 3420,YONDU101982,SN-HPPNQN,,YONDU101982,YONDU101982,,Pre-sales,"Unit 2602, 115 Katipunan Avenue, Brgy. Poblacion, Las Piñas City, Metro Manila",9208166954,,,,,,,,
05-02384,"DE LEON, SOFIA MERCADO",Use Brand New Dell 3420,YONDU101983,SN-LK1P5G,,YONDU101983,YONDU101983,,AXASol 2.0 (FOR AXA CONFIGURATION),"Unit 602, 171 Boni Avenue, Brgy. San Lorenzo, Taguig City, Metro Manila",9208701691,,,,,,,,
05-02359,"DE LEON, MARK ANTHONY SANTOS",Prepare YONDU Samsung Monitor / SAMSUNG LAPTOP FROM CLIENT,YONDU101984,SN-HY0PNE,,YONDU101984,YONDU101984,,Samsung PARAN NOC,"Unit 1902, 75 Rizal Avenue, Brgy. San Lorenzo, Quezon City, Metro Manila",9661298952,,,,,,,,
05-06676,"ILAGAN, ANGELO FLORES",Use Brand New Dell 3420,YONDU101985,SN-0TUMYJ,,YONDU101985,YONDU101985,,N/A - LBC Delivery,"Unit 3202, 196 Ayala Avenue, Brgy. Alabang, Santa Rosa City, Laguna",9275411197,,,,,,,,
,,,,,,,,,FOR DEPLOYMENT ON 03-14-2022,,,,,,,,,,
05-01096,"CABRERA, CAMILLE GARCIA",For Replacement,YONDU101477,PF-DVWRAB,,YONDU101477,YONDU101477,,"Old laptop V310 with some damages, will be going to office on Monday, March 14","Unit 102, 70 Governor Drive, Brgy. Loyola Heights, Santa Rosa City, Laguna",9277257675,,,,,,,,
05-04916,"VILLANUEVA, CHRISTIAN SANTOS",for refresh/ For Replacement,YONDU101986,SN-DAYVBF,,YONDU101986,YONDU101986,,for refresh/replacement next week delivery (current device is too slow and under globe domain) - sched on Monday 3/14/22,"Unit 1002, 116 Marcos Highway, Brgy. BF Homes, Taguig City, Metro Manila",9183009872,,,,,,,,
05-02359,"CRUZ, MARK ANTHONY BAUTISTA",NA,YONDU101871,,,YONDU101871,YONDU101871,,Please reconfigure his laptop - YONDU Build - sched on Monday 3/14/22,"Unit 2002, 221 Katipunan Avenue, Brgy. Poblacion, Parañaque City, Metro Manila",9669897619,,,,,,,,
05-02356,"RIVERA, JASMIN BAUTISTA",replacement,YONDU101872,,,YONDU101872,YONDU101872,,LCD Flickering,"Unit 902, 53 C-5 Road, Brgy. Moonwalk, Antipolo City, Rizal",,,,,,,,,
